NDC,カテゴリー
220.02,アジア史・東洋史 歴史的・地域的論述
220.03,アジア史・東洋史 参考図書[レファレンスブック]
220.04,アジア史・東洋史 論文集 評論集 講演集 会議録
220.05,アジア史・東洋史 逐次刊行物
220.06,アジア史・東洋史 団体
220.07,アジア史・東洋史 研究法 指導法 教育
220.08,アジア史・東洋史 叢書 全集 選集
220.6,アジア史・東洋史 19世紀
220.7,アジア史・東洋史 20世紀
220.8,アジア史・東洋史 21世紀－
221.1,アジア史・東洋史 朝鮮 関北地方
221.2,アジア史・東洋史 朝鮮 西北地方
221.3,アジア史・東洋史 朝鮮 黄海道
221.4,アジア史・東洋史 朝鮮 京畿地方
221.5,アジア史・東洋史 朝鮮 江原地方
221.6,アジア史・東洋史 朝鮮 湖西地方
221.7,アジア史・東洋史 朝鮮 湖南地方
221.8,アジア史・東洋史 朝鮮 嶺南地方
221.9,アジア史・東洋史 朝鮮 済州島
222.1,アジア史・東洋史 中国 華北 黄河流域
222.2,アジア史・東洋史 中国 華中 長江流域
222.3,アジア史・東洋史 中国 華南 珠江流域
222.4,アジア史・東洋史 中国 台湾
222.5,アジア史・東洋史 中国 東北地区
222.6,アジア史・東洋史 中国 蒙古
222.7,アジア史・東洋史 中国 外蒙古
222.8,アジア史・東洋史 中国 新疆
222.9,アジア史・東洋史 中国 チベット
223.1,アジア史・東洋史 東南アジア ベトナム[越南]
223.5,アジア史・東洋史 東南アジア カンボジア
223.6,アジア史・東洋史 東南アジア ラオス
223.7,アジア史・東洋史 東南アジア タイ[シャム]
223.8,アジア史・東洋史 東南アジア ミャンマー[ビルマ]
223.9,アジア史・東洋史 東南アジア マレーシア マライ半島
223.99,アジア史・東洋史 東南アジア シンガポール
224.1,アジア史・東洋史 インドネシア スマトラ
224.2,アジア史・東洋史 インドネシア ジャワ
224.3,アジア史・東洋史 インドネシア ボルネオ[カリマンタン]
224.4,アジア史・東洋史 インドネシア セレベス[スラウェシ]
224.5,アジア史・東洋史 インドネシア モルッカ[マルク]
224.6,アジア史・東洋史 インドネシア 小スンダ列島 チモール
224.7,アジア史・東洋史 インドネシア イリアン・ジャヤ[西イリアン]
224.8,アジア史・東洋史 インドネシア フィリピン
225.1,アジア史・東洋史 インド 東インド
225.2,アジア史・東洋史 インド ビハール州 オリッサ州
225.3,アジア史・東洋史 インド 中央インド
225.4,アジア史・東洋史 インド 北インド
225.5,アジア史・東洋史 インド 西インド
225.6,アジア史・東洋史 インド 南インド
225.7,アジア史・東洋史 インド パキスタン
225.76,アジア史・東洋史 インド バングラデシュ
225.8,アジア史・東洋史 インド ヒマラヤ地方
225.87,アジア史・東洋史 インド ネパール
225.88,アジア史・東洋史 インド ブータン
225.9,アジア史・東洋史 インド スリランカ[セイロン] インド洋諸島
226.1,アジア史・東洋史 西南アジア 中東[近東] →227 バルチスタン州
226.2,アジア史・東洋史 西南アジア 中東[近東] →227 アフガニスタン
226.3,アジア史・東洋史 西南アジア 中東[近東] →227 イラン[ペルシア]
226.6,アジア史・東洋史 西南アジア 中東[近東] →227 トルコ
226.7,アジア史・東洋史 西南アジア 中東[近東] →227 キプロス ロードス島
227.1,アジア史・東洋史 西南アジア 中東[近東] アフガニスタン
227.2,アジア史・東洋史 西南アジア 中東[近東] イラン[ペルシア]
227.3,アジア史・東洋史 西南アジア 中東[近東] イラク[メソポタミア]
227.4,アジア史・東洋史 西南アジア 中東[近東] トルコ
227.5,アジア史・東洋史 西南アジア 中東[近東] シリア
227.6,アジア史・東洋史 西南アジア 中東[近東] レバノン
227.7,アジア史・東洋史 西南アジア 中東[近東] ヨルダン
227.8,アジア史・東洋史 西南アジア 中東[近東] アラビア半島
227.81,アジア史・東洋史 西南アジア 中東[近東] サウジアラビア
227.82,アジア史・東洋史 西南アジア 中東[近東] クウェート
227.83,アジア史・東洋史 西南アジア 中東[近東] カタール
227.84,アジア史・東洋史 西南アジア 中東[近東] アラブ首長国連邦
227.85,アジア史・東洋史 西南アジア 中東[近東] オマーン
227.86,アジア史・東洋史 西南アジア 中東[近東] イエメン アデン
227.89,アジア史・東洋史 西南アジア 中東[近東] バーレーン
227.9,アジア史・東洋史 西南アジア 中東[近東] イスラエル
228.1,アジア史・東洋史 アラブ諸国 →227 イラク[メソポタミア]
228.2,アジア史・東洋史 アラブ諸国 →227 シリア
228.3,アジア史・東洋史 アラブ諸国 →227 レバノン
228.4,アジア史・東洋史 アラブ諸国 →227 ヨルダン
228.5,アジア史・東洋史 アラブ諸国 →227 イスラエル
228.6,アジア史・東洋史 アラブ諸国 →227 アラビア半島
228.9,アジア史・東洋史 アラブ諸国 →227 バーレーン
229.1,アジア史・東洋史 アジア・ロシア 北アジア シベリア
229.2,アジア史・東洋史 アジア・ロシア 極東地方
229.3,アジア史・東洋史 アジア・ロシア 東シベリア地方
229.4,アジア史・東洋史 アジア・ロシア 西シベリア地方
229.5,アジア史・東洋史 アジア・ロシア ウラル地区
229.6,アジア史・東洋史 アジア・ロシア 中央アジア
229.7,アジア史・東洋史 アジア・ロシア コーカサス
229.8,アジア史・東洋史 アジア・ロシア 北コーカサス
229.9,アジア史・東洋史 アジア・ロシア 南コーカサス[外コーカサス]
230.01,ヨ－ロッパ史・西洋史 理論 哲学
230.02,ヨ－ロッパ史・西洋史 歴史的・地域的論述
230.03,ヨ－ロッパ史・西洋史 参考図書[レファレンスブック]
230.04,ヨ－ロッパ史・西洋史 論文集 評論集 講演集 会議録
230.05,ヨ－ロッパ史・西洋史 逐次刊行物
230.06,ヨ－ロッパ史・西洋史 団体
230.07,ヨ－ロッパ史・西洋史 研究法 指導法 教育
230.08,ヨ－ロッパ史・西洋史 叢書 全集 選集
230.2,ヨ－ロッパ史・西洋史 原始時代
230.3,ヨ－ロッパ史・西洋史 古代
230.4,ヨ－ロッパ史・西洋史 中世
230.5,ヨ－ロッパ史・西洋史 近代
230.6,ヨ－ロッパ史・西洋史 19世紀
230.7,ヨ－ロッパ史・西洋史 20世紀
230.8,ヨ－ロッパ史・西洋史 21世紀－
231.1,ヨ－ロッパ史・西洋史 古代ギリシア 伝説神話時代
231.2,ヨ－ロッパ史・西洋史 古代ギリシア 僭主時代 ペルシア戦争
231.3,ヨ－ロッパ史・西洋史 古代ギリシア ペリクレス時代
231.4,ヨ－ロッパ史・西洋史 古代ギリシア ペロポンネソス戦争
231.5,ヨ－ロッパ史・西洋史 古代ギリシア スパルタ・テーベの制覇 コリント戦争
231.6,ヨ－ロッパ史・西洋史 古代ギリシア マケドニア時代 神聖戦争
231.7,ヨ－ロッパ史・西洋史 古代ギリシア アレクサンドロス大王
231.8,ヨ－ロッパ史・西洋史 古代ギリシア ヘレニズム時代
231.9,ヨ－ロッパ史・西洋史 古代ギリシア ローマの支配
232.3,ヨ－ロッパ史・西洋史 古代ローマ 王政時代 エトルリア人の支配
232.4,ヨ－ロッパ史・西洋史 古代ローマ 共和政時代
232.8,ヨ－ロッパ史・西洋史 古代ローマ 帝政時代
233.2,ヨ－ロッパ史・西洋史 イギリス・英国 スコットランド
233.3,ヨ－ロッパ史・西洋史 イギリス・英国 イングランド
233.5,ヨ－ロッパ史・西洋史 イギリス・英国 ウェールズ
233.6,ヨ－ロッパ史・西洋史 イギリス・英国 マン島 チャンネル諸島
233.8,ヨ－ロッパ史・西洋史 イギリス・英国 北アイルランド
233.9,ヨ－ロッパ史・西洋史 イギリス・英国 アイルランド[エール]
234.3,ヨ－ロッパ史・西洋史 ドイツ・中欧 ベルリン
234.5,ヨ－ロッパ史・西洋史 ドイツ・中欧 スイス
234.6,ヨ－ロッパ史・西洋史 ドイツ・中欧 オーストリア
234.7,ヨ－ロッパ史・西洋史 ドイツ・中欧 ハンガリー
234.8,ヨ－ロッパ史・西洋史 ドイツ・中欧 チェコ
234.83,ヨ－ロッパ史・西洋史 ドイツ・中欧 スロバキア
234.9,ヨ－ロッパ史・西洋史 ドイツ・中欧 ポーランド
235.3,ヨ－ロッパ史・西洋史 フランス パリ
235.8,ヨ－ロッパ史・西洋史 フランス ベネルックス ベルギー
235.9,ヨ－ロッパ史・西洋史 フランス オランダ
236.8,ヨ－ロッパ史・西洋史 スペイン［イスパニア］ アンドラ
236.9,ヨ－ロッパ史・西洋史 スペイン［イスパニア］ ポルトガル
237.7,ヨ－ロッパ史・西洋史 イタリア サンマリノ
237.8,ヨ－ロッパ史・西洋史 イタリア バチカン市国
237.9,ヨ－ロッパ史・西洋史 イタリア マルタ
238.1,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］ ヨーロッパ・ロシア
238.5,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］ ベラルーシ
238.6,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］ ウクライナ
238.7,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］ モルドバ
238.8,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］ バルト３国
238.9,ヨ－ロッパ史・西洋史 ロシア［ソビエト連邦・独立国家共同体］ 北ヨーロッパ
239.1,ヨ－ロッパ史・西洋史 バルカン諸国 ルーマニア
239.2,ヨ－ロッパ史・西洋史 バルカン諸国 ブルガリア
239.3,ヨ－ロッパ史・西洋史 バルカン諸国 ユーゴスラビア
239.4,ヨ－ロッパ史・西洋史 バルカン諸国 アルバニア
239.5,ヨ－ロッパ史・西洋史 バルカン諸国 ギリシア
239.6,ヨ－ロッパ史・西洋史 バルカン諸国 ヨーロッパ・トルコ
242.8,アフリカ史 エジプト スエズ運河
242.9,アフリカ史 エジプト スーダン
243.1,アフリカ史 バーバリ諸国 リビア
243.2,アフリカ史 バーバリ諸国 チュニジア
243.3,アフリカ史 バーバリ諸国 アルジェリア
243.4,アフリカ史 バーバリ諸国 モロッコ
243.5,アフリカ史 バーバリ諸国 西サハラ[旧スペイン領サハラ]
243.6,アフリカ史 バーバリ諸国 カナリア諸島
244.1,アフリカ史 西アフリカ [旧フランス領西アフリカ]
244.2,アフリカ史 西アフリカ 上ギニア地方
244.3,アフリカ史 西アフリカ リベリア
244.4,アフリカ史 西アフリカ ガーナ[黄金海岸]
244.5,アフリカ史 西アフリカ ナイジェリア
244.6,アフリカ史 西アフリカ カメルーン
244.7,アフリカ史 西アフリカ [旧フランス領赤道アフリカ]
244.8,アフリカ史 西アフリカ ザイール[旧ベルギー領コンゴ]
244.9,アフリカ史 西アフリカ アンゴラ カビンダ
245.1,アフリカ史 東アフリカ エチオピア[アビシニア]
245.2,アフリカ史 東アフリカ ジブチ[アファル・イッサ]
245.3,アフリカ史 東アフリカ ソマリア
245.4,アフリカ史 東アフリカ ケニア
245.5,アフリカ史 東アフリカ ウガンダ
245.6,アフリカ史 東アフリカ タンザニア[タンガニーカ ザンジバル]
245.8,アフリカ史 東アフリカ モザンビーク
248.1,アフリカ史 南アフリカ マラウイ[ニアサランド]
248.2,アフリカ史 南アフリカ ザンビア[北ローデシア]
248.3,アフリカ史 南アフリカ ジンバブエ[旧ローデシア]
248.4,アフリカ史 南アフリカ ボツワナ[ベチュアナランド]
248.6,アフリカ史 南アフリカ ナミビア[南西アフリカ]
248.7,アフリカ史 南アフリカ 南アフリカ共和国
248.8,アフリカ史 南アフリカ スワジランド
248.9,アフリカ史 南アフリカ レソト[バストランド]
249.1,アフリカ史 インド洋のアフリカ諸島 マダガスカル
249.2,アフリカ史 インド洋のアフリカ諸島 モーリシャス
249.3,アフリカ史 インド洋のアフリカ諸島 セイシェル
249.4,アフリカ史 インド洋のアフリカ諸島 コモロ
251.1,北アメリカ史 カナダ 北西地方 ユーコン地方
251.2,北アメリカ史 カナダ ニューファンドランド州 ラブラドル
251.3,北アメリカ史 カナダ 東部沿岸諸州
251.4,北アメリカ史 カナダ ケベック州
251.5,北アメリカ史 カナダ オンタリオ州
251.6,北アメリカ史 カナダ 西部諸州
251.7,北アメリカ史 カナダ ブリティッシュ・コロンビア州
253.1,北アメリカ史 アメリカ合衆国 ニューイングランド諸州
253.2,北アメリカ史 アメリカ合衆国 大西洋岸中部諸州
253.3,北アメリカ史 アメリカ合衆国 大西洋南部諸州
253.4,北アメリカ史 アメリカ合衆国 中央北東部諸州
253.5,北アメリカ史 アメリカ合衆国 中央北西部諸州
253.6,北アメリカ史 アメリカ合衆国 中央南部諸州
253.8,北アメリカ史 アメリカ合衆国 山岳諸州
253.9,北アメリカ史 アメリカ合衆国 太平洋岸諸州
257.1,北アメリカ史 中央アメリカ［中米諸国］ グアテマラ
257.2,北アメリカ史 中央アメリカ［中米諸国］ エル・サルバドル
257.3,北アメリカ史 中央アメリカ［中米諸国］ ホンジュラス
257.4,北アメリカ史 中央アメリカ［中米諸国］ ベリーズ[旧イギリス領ホンジュラス]
257.5,北アメリカ史 中央アメリカ［中米諸国］ ニカラグア
257.6,北アメリカ史 中央アメリカ［中米諸国］ コスタ・リカ
257.8,北アメリカ史 中央アメリカ［中米諸国］ パナマ 運河地帯
259.1,北アメリカ史 西インド諸島 キューバ
259.2,北アメリカ史 西インド諸島 ジャマイカ
259.3,北アメリカ史 西インド諸島 ハイチ
259.4,北アメリカ史 西インド諸島 ドミニカ共和国
259.6,北アメリカ史 西インド諸島 プエルト・リコ
259.7,北アメリカ史 西インド諸島 小アンティル諸島
259.8,北アメリカ史 西インド諸島 グレナダ
259.9,北アメリカ史 西インド諸島 トリニダード・トバゴ
261.2,南アメリカ史 北部諸国［カリブ沿海諸国］ ギアナ地方
261.3,南アメリカ史 北部諸国［カリブ沿海諸国］ ベネズエラ
261.4,南アメリカ史 北部諸国［カリブ沿海諸国］ コロンビア
261.5,南アメリカ史 北部諸国［カリブ沿海諸国］ エクアドル
265.9,南アメリカ史 アルゼンチン フォークランド諸島[マルビナス諸島]
271.1,オセアニア史・両極地方史 オーストラリア クイーンズランド州
271.2,オセアニア史・両極地方史 オーストラリア 北部地方
271.3,オセアニア史・両極地方史 オーストラリア 西オーストラリア州
271.4,オセアニア史・両極地方史 オーストラリア 南オーストラリア州
271.5,オセアニア史・両極地方史 オーストラリア ニューサウスウェールズ州
271.6,オセアニア史・両極地方史 オーストラリア 連邦首都地区
271.7,オセアニア史・両極地方史 オーストラリア ビクトリア州
271.8,オセアニア史・両極地方史 オーストラリア タスマニア州
273.2,オセアニア史・両極地方史 メラネシア ソロモン諸島
273.3,オセアニア史・両極地方史 メラネシア バヌアツ
273.4,オセアニア史・両極地方史 メラネシア フィジー
273.5,オセアニア史・両極地方史 メラネシア ニューカレドニア ローヤルティ諸島
273.6,オセアニア史・両極地方史 メラネシア パプア・ニューギニア
274.1,オセアニア史・両極地方史 ミクロネシア 北マリアナ諸島
274.2,オセアニア史・両極地方史 ミクロネシア グアム
274.3,オセアニア史・両極地方史 ミクロネシア ミクロネシア連邦
274.4,オセアニア史・両極地方史 ミクロネシア パラオ
274.5,オセアニア史・両極地方史 ミクロネシア マーシャル諸島
274.6,オセアニア史・両極地方史 ミクロネシア ナウル
274.7,オセアニア史・両極地方史 ミクロネシア キリバス
276.9,オセアニア史・両極地方史 ハワイ ミッドウェー諸島
280.2,伝記 墓誌 墓銘
280.3,伝記 参考図書[レファレンスブック]
280.7,伝記 研究法 指導法 伝記作法
280.8,伝記 叢書 全集 選集 逸話集
281.1,伝記 日本 北海道地方
281.2,伝記 日本 東北地方
281.3,伝記 日本 関東地方
281.4,伝記 日本 北陸地方
281.5,伝記 日本 中部地方
281.6,伝記 日本 近畿地方
281.7,伝記 日本 中国地方
281.8,伝記 日本 四国地方
281.9,伝記 日本 九州地方
282.1,伝記 アジア 朝鮮
282.2,伝記 アジア 中国
282.3,伝記 アジア 東南アジア
282.4,伝記 アジア インドネシア
282.5,伝記 アジア インド
282.7,伝記 アジア 西南アジア
282.9,伝記 アジア アジアロシア
283.3,伝記 ヨーロッパ イギリス
283.4,伝記 ヨーロッパ ドイツ
283.5,伝記 ヨーロッパ フランス
283.6,伝記 ヨーロッパ スペイン
283.7,伝記 ヨーロッパ イタリア
283.8,伝記 ヨーロッパ ロシア
283.9,伝記 ヨーロッパ バルカン諸国
285.1,伝記 北アメリカ カナダ
285.3,伝記 北アメリカ アメリカ合衆国
285.6,伝記 北アメリカ メキシコ
285.9,伝記 北アメリカ 西インド諸島
286.2,伝記 南アメリカ ブラジル
286.3,伝記 南アメリカ パラグアイ
286.4,伝記 南アメリカ ウルグアイ
286.5,伝記 南アメリカ アルゼンチン
286.6,伝記 南アメリカ チリー
286.7,伝記 南アメリカ ボリビア
286.8,伝記 南アメリカ ペルー
287.1,伝記 オセアニア・両極地方 オーストラリア
287.2,伝記 オセアニア・両極地方 ニュージーランド
287.6,伝記 オセアニア・両極地方 ハワイ
287.8,伝記 オセアニア・両極地方 北極（地方）
287.9,伝記 オセアニア・両極地方 南極（地方）
288.1,伝記 系譜・家史・皇室 姓氏
288.2,伝記 系譜・家史・皇室 系譜[家系図]
288.3,伝記 系譜・家史・皇室 家史[家伝]
288.4,伝記 系譜・家史・皇室 皇室
288.5,伝記 系譜・家史・皇室 華族 爵位
288.6,伝記 系譜・家史・皇室 紋章[家紋]
288.9,伝記 系譜・家史・皇室 旗
289.1,伝記 個人伝記 日本人
289.2,伝記 個人伝記 東洋人
289.3,伝記 個人伝記 西洋人およびその他
290.1,地理・地誌・紀行 地理学 人文地理学 地誌学
290.2,地理・地誌・紀行 史跡・名勝 景観
290.3,地理・地誌・紀行 参考図書[レファレンスブック]
290.9,地理・地誌・紀行 紀行
291.1,地理・地誌・紀行 日本 北海道地方
291.2,地理・地誌・紀行 日本 東北地方
291.3,地理・地誌・紀行 日本 関東地方
291.4,地理・地誌・紀行 日本 中部地方
291.5,地理・地誌・紀行 日本 東海地方
291.6,地理・地誌・紀行 日本 近畿地方
291.7,地理・地誌・紀行 日本 中国地方
291.8,地理・地誌・紀行 日本 四国地方
291.9,地理・地誌・紀行 日本 九州地方
292.1,地理・地誌・紀行 アジア 朝鮮
292.2,地理・地誌・紀行 アジア 中国
292.3,地理・地誌・紀行 アジア 東南アジア
292.4,地理・地誌・紀行 アジア インドネシア
292.5,地理・地誌・紀行 アジア インド
292.7,地理・地誌・紀行 アジア 西南アジア
292.9,地理・地誌・紀行 アジア アジアロシア
293.3,地理・地誌・紀行 ヨーロッパ イギリス
293.4,地理・地誌・紀行 ヨーロッパ ドイツ
293.5,地理・地誌・紀行 ヨーロッパ フランス
293.6,地理・地誌・紀行 ヨーロッパ スペイン
293.7,地理・地誌・紀行 ヨーロッパ イタリア
293.8,地理・地誌・紀行 ヨーロッパ ロシア
293.9,地理・地誌・紀行 ヨーロッパ バルカン諸国
295.1,地理・地誌・紀行 北アメリカ カナダ
295.3,地理・地誌・紀行 北アメリカ アメリカ合衆国
295.6,地理・地誌・紀行 北アメリカ メキシコ
295.9,地理・地誌・紀行 北アメリカ 西インド諸島
296.2,地理・地誌・紀行 南アメリカ ブラジル
296.3,地理・地誌・紀行 南アメリカ パラグアイ
296.4,地理・地誌・紀行 南アメリカ ウルグアイ
296.5,地理・地誌・紀行 南アメリカ アルゼンチン
296.6,地理・地誌・紀行 南アメリカ チリー
296.7,地理・地誌・紀行 南アメリカ ボリビア
296.8,地理・地誌・紀行 南アメリカ ペルー
297.1,地理・地誌・紀行 オセアニア．両極地方 オーストラリア
297.2,地理・地誌・紀行 オセアニア．両極地方 ニュージーランド
297.6,地理・地誌・紀行 オセアニア．両極地方 ハワイ
297.8,地理・地誌・紀行 オセアニア．両極地方 北極（地方）
297.9,地理・地誌・紀行 オセアニア．両極地方 南極（地方）
299.1,地理・地誌・紀行 海洋 太平洋
299.2,地理・地誌・紀行 海洋 北太平洋
299.3,地理・地誌・紀行 海洋 南太平洋
299.4,地理・地誌・紀行 海洋 インド洋
299.5,地理・地誌・紀行 海洋 大西洋
299.6,地理・地誌・紀行 海洋 地中海
299.7,地理・地誌・紀行 海洋 北極海[北氷洋]
299.8,地理・地誌・紀行 海洋 南極海[南氷洋]
299.9,地理・地誌・紀行 海洋 地球以外の世界
301.2,社会科学史
301.6,社会科学方法論
302.1,社会科学 政治・経済・社会・文化事情 日本
302.2,社会科学 政治・経済・社会・文化事情 アジア・東洋
302.3,社会科学 政治・経済・社会・文化事情 ヨーロッパ
302.4,社会科学 政治・経済・社会・文化事情 アフリカ
302.5,社会科学 政治・経済・社会・文化事情 北アメリカ
302.6,社会科学 政治・経済・社会・文化事情 南アメリカ
302.7,社会科学 政治・経済・社会・文化事情 オセアニア・南極地方
307.8,社会科学 研究法・指導法・社会科学教育 就職試験問題集
309.1,社会科学 社会思想 自由主義 民主主義
309.2,社会科学 社会思想 空想的社会主義
309.3,社会科学 社会思想 社会主義 マルクス主義 共産主義
309.4,社会科学 社会思想 社会民主主義 社会改良主義 ファビアン社会主義
309.5,社会科学 社会思想 サンジカリズム
309.6,社会科学 社会思想 国家社会主義
309.7,社会科学 社会思想 無政府主義
309.8,社会科学 社会思想 全体主義 ファシズム ナチズム
309.9,社会科学 社会思想 国粋主義 ナショナリズム 民族主義
310.4,政治論集 政治評論集 政治演説・講演集
311.1,政治哲学
311.2,政治学史 政治思想史
311.3,政治学・政治思想 国粋主義 ナショナリズム 民族主義
311.4,政治学・政治思想 保守主義
311.5,政治学・政治思想 絶対主義
311.6,政治学・政治思想 立憲君主主義
311.7,政治学・政治思想 民主主義
311.8,政治学・政治思想 全体主義 ファシズム
311.9,政治学・政治思想 社会主義 共産主義
312.1,政治史・事情 日本
312.2,政治史・事情 アジア・東洋
312.3,政治史・事情 ヨーロッパ
312.4,政治史・事情 アフリカ
312.5,政治史・事情 北アメリカ
312.6,政治史・事情 南アメリカ
312.7,政治史・事情 オセアニア・南極地方
312.8,政治家
312.9,政治地理 地政学
313.1,政治 国家の形態・政治体制 国家の形態
313.2,政治 国家の形態・政治体制 国家の歴史
313.4,政治 国家の形態・政治体制 貴族政治
313.5,政治 国家の形態・政治体制 封建制
313.6,政治 国家の形態・政治体制 君主制 絶対君主制 立憲君主制
313.7,政治 国家の形態・政治体制 民主制
313.8,政治 国家の形態・政治体制 独裁政治 ファシスト国家
313.9,政治 国家の形態・政治体制 社会主義国家 ソビエト国家
314.1,政治 議会 日本
314.12,政治 議会 国会の歴史・事情
314.13,政治 議会 国会法および関係法令
314.14,政治 議会 衆議院
314.15,政治 議会 参議院
314.16,政治 議会 貴族院
314.18,政治 議会 議員
314.19,政治 議会 国政調査権
314.2,政治 議会 アジア・東洋
314.3,政治 議会 ヨーロッパ
314.4,政治 議会 アフリカ
314.5,政治 議会 北アメリカ
314.6,政治 議会 南アメリカ
314.7,政治 議会 オセアニア・南極地方
314.8,政治 議会 選挙 選挙制度
314.9,政治 議会 直接参政制度[直接民主制]
315.1,政治 政党・政治結社 日本
315.2,政治 政党・政治結社 アジア・東洋
315.3,政治 政党・政治結社 ヨーロッパ
315.4,政治 政党・政治結社 アフリカ
315.5,政治 政党・政治結社 北アメリカ
315.6,政治 政党・政治結社 南アメリカ
315.7,政治 政党・政治結社 オセアニア・南極地方
316.1,政治 国家と個人・宗教・民族 国家と個人
316.2,政治 国家と個人・宗教・民族 国家と宗教
316.4,政治闘争
316.5,政治 国家と個人・宗教・民族 革命 反革命
316.8,政治 国家と個人・宗教・民族 民族・人種問題 民族運動 民族政策
317.1,政治 行政 行政学 行政管理
317.2,政治 行政 行政組織 行政機構
317.21,政治 行政 内閣 人事院 総務庁[行政管理庁] 宮内庁 総理府
317.22,政治 行政 外交関係
317.23,政治 行政 司法関係
317.24,政治 行政 財政関係
317.25,政治 行政 産業・経済関係
317.26,政治 行政 国土・交通関係
317.27,政治 行政 教育・学術関係
317.28,政治 行政 社会・労働関係
317.29,政治 行政 防衛・公安関係
317.3,政治 行政 公務員 国家公務員 人事行政
317.4,政治 行政 国家試験
317.5,政治 行政 栄典制度
317.6,政治 行政 行政事務 行政能率 行政監察 情報公開 オンブズマン 公文書
317.7,政治 行政 警察 公安
317.8,政治 行政 植民地行政
317.9,政治 行政 外国の中央行政
318.1,政治 地方自治・地方行政 地方制度
318.2,政治 地方自治・地方行政 地方行政史・事情
318.3,政治 地方自治・地方行政 地方公務員 人事行政
318.4,政治 地方自治・地方行政 地方議会 地方選挙
318.5,政治 地方自治・地方行政 地方行政事務・公報・文書・改善・監査 情報公開 オンブズマン
318.6,政治 地方自治・地方行政 地方開発行政
318.7,政治 地方自治・地方行政 都市問題 都市政策
318.8,政治 地方自治・地方行政 住民運動 民間自治組織[自治会]
318.9,政治 地方自治・地方行政 外国の地方行政
319.1,政治 外交・国際問題 日本
319.2,政治 外交・国際問題 アジア・東洋
319.3,政治 外交・国際問題 ヨーロッパ
319.4,政治 外交・国際問題 アフリカ
319.5,政治 外交・国際問題 北アメリカ
319.6,政治 外交・国際問題 南アメリカ
319.7,政治 外交・国際問題 オセアニア・南極地方
319.8,政治 外交・国際問題 戦争と平和
319.9,政治 外交・国際問題 国際連合 国際連盟 国際会議
320.9,法律 法令集
320.98,法律 判例集
321.1,法律 法学 法哲学[法理学] 自然法学
321.2,法律 法学 法学史 法思想史
321.3,法律 法学 法社会学
321.4,法律 法学 法心理学
321.9,法律 法学 比較法学
322.1,法律 法制史 日本法制史
322.2,法律 法制史 東洋法制史
322.3,法律 法制史 西洋法制史
322.4,法律 法制史 アフリカ
322.5,法律 法制史 北アメリカ
322.6,法律 法制史 南アメリカ
322.7,法律 法制史 オセアニア
322.8,法律家
322.9,法律 法制史 外国法
323.1,法律 憲法 日本
323.12,法律 憲法 憲法史
323.13,法律 憲法 帝国憲法
323.14,法律 憲法 日本国憲法
323.15,法律 憲法 皇室法 皇室典範 皇室制度
323.2,法律 憲法 アジア・東洋
323.3,法律 憲法 ヨーロッパ
323.4,法律 憲法 アフリカ
323.5,法律 憲法 北アメリカ
323.6,法律 憲法 南アメリカ
323.7,法律 憲法 オセアニア・南極地方
323.9,法律 憲法 行政法
324.1,法律 民法 民法総則
324.2,法律 民法 物権法 財産法
324.3,法律 民法 担保物権法
324.4,法律 民法 債権法 債権総論
324.5,法律 民法 債権各論
324.6,法律 民法 親族法 家族法 身分法
324.7,法律 民法 相続法
324.8,法律 民法 民事特別法
324.9,法律 民法 外国の民法
325.1,法律 商法 商法総則
325.2,法律 商法 会社法
325.3,法律 商法 商行為法
325.4,法律 商法 保険法
325.5,法律 商法 海商法 海法
325.6,法律 商法 有価証券法
325.8,法律 商法 商事特別法
325.9,法律 商法 外国の商法
326.1,法律 刑法・刑事法 刑法総論 犯罪理論 行為論 限時法
326.2,法律 刑法・刑事法 刑法理論 犯罪の類型
326.3,法律 刑法・刑事法 刑事政策 犯罪学
326.4,法律 刑法・刑事法 刑罰
326.5,法律 刑法・刑事法 行刑 矯正
326.7,法律 刑法・刑事法 法医学 裁判医学
326.8,法律 刑法・刑事法 刑事特別法
326.9,法律 刑法・刑事法 外国の刑法
327.1,法律 司法・訴訟手続法 司法制度 司法行政[法務]
327.2,法律 司法・訴訟手続法 民事訴訟法
327.3,法律 司法・訴訟手続法 強制執行法
327.4,法律 司法・訴訟手続法 家事審判法 人事訴訟 人事調停
327.5,法律 司法・訴訟手続法 民事調停法
327.6,法律 司法・訴訟手続法 刑事訴訟法
327.7,法律 司法・訴訟手続法 人権擁護
327.8,法律 司法・訴訟手続法 少年法 少年審判法 非行少年 少年犯罪
327.9,法律 司法・訴訟手続法 外国の司法制度・訴訟制度
328.1,法律 諸法 経済産業法
328.2,法律 諸法 農林水産法
328.3,法律 諸法 鉱工業法 建設法 公害法
328.4,法律 諸法 交通・通信法
328.5,法律 諸法 無体財産法
328.6,法律 諸法 労働法
328.7,法律 諸法 社会・厚生法
328.8,法律 諸法 文化・教育法
328.9,法律 諸法 国防法
329.1,法律 国際法 国際法の主体 国家 国際人格法
